,Month,Overview,Titles,Year
15,06,"Falling Skies opens in the chaotic aftermath of an alien attack that has left most of the world completely incapacitated. In the six months since the initial invasion, the few survivors have banded together outside major cities to begin the difficult task of fighting back. Each day is a test of survival as citizen soldiers work to protect the people in their care while also engaging in an insurgency campaign against the occupying alien force.",Falling Skies,2011
16,03,A freak accident during an experimental space mission catapults Astronaut John Crichton across a thousand galaxies to an alien battlefield.,Farscape,1999
17,05,"Fifty spaceships, each three miles across, hover ominously above Earth's major cities. The Visitors that emerge are humanlike in appearance and extend the hand of friendship. Our planet's resources are just what these aliens need to survive. And for its future survival, unsuspecting humankind will need... a miracle!",V,1983
18,07,An astronaut returns home from a year long solo mission in space. She tries to reconnect with her husband and son in their everyday life. Her experiences in space and home lead to events that ultimately will change the course of human history.,Extant,2014
19,10,"Bizarre things start happening in the little New Mexico town where UFOs were spotted in 1947. Cut to 1999, when a cute high-school student saves the life of a teenage waitress. Surrounded by cliques of clever, angst-filled classmates, the two form a bond that threatens the survival of a secret universe involving superhuman powers, a yen for hot sauce and an alien gene pool.",Roswell,1999
20,11,"V is an American science fiction television series that ran for two seasons on ABC, from November 3, 2009 to March 15, 2011. A remake of the 1983 miniseries created by Kenneth Johnson, the new series chronicles the arrival on Earth of a technologically advanced alien species which ostensibly comes in peace, but actually has sinister motives. V stars Morena Baccarin, Lourdes Benedicto, Morris Chestnut, Joel Gretsch, Logan Huffman, Charles Mesure, Elizabeth Mitchell, Laura Vandervoort and Scott Wolf, and was executive produced by Scott Rosenbaum, Yves Simoneau, Scott Peters, and Jace Hall. The series was produced by The Scott Peters Company, HDFilms and Warner Bros. Television.",V,2009
21,09,"Threshold was a science fiction drama television series that first aired on CBS in September 2005. Produced by Brannon Braga, David S. Goyer and David Heyman, the series focuses on a secret government project investigating the first contact with an extraterrestrial species.",Threshold,2005
22,10,"Earth: Final Conflict is a Canadian science fiction television series based on story ideas created by Gene Roddenberry, and produced under the guidance of his widow, Majel Barrett-Roddenberry. It was not produced, filmed or broadcast until after his death. It ran for five seasons between October 6, 1997, and May 20, 2002.

The original title for the show was Battleground: Earth, but the producers changed it because it sounded too much like L. Ron Hubbard's novel, Battlefield Earth. The executive producer was Majel Barrett-Roddenberry. She also appeared in some early episodes as the character Dr Julianne Belman. Barrett was in possession of notes Roddenberry kept of story and series ideas; after his death, these notes provided the basis for this series.",Earth: Final Conflict,1997
23,10,"Torchwood is a British science fiction television programme created by Russell T Davies. The series is a spin-off from the 2005 revival of the long-running science fiction programme Doctor Who. Torchwood follows the exploits of a small team of alien hunters, who make up the Cardiff branch of the fictional Torchwood Institute, which deals mainly with incidents involving extraterrestrials.",Torchwood,2006
24,10,"400 years after the extinction of the human race, a small group of humans are revived by an alien civilization. The colony of revived humans encounter struggles with the aliens who extinguished humankind centuries before, while trying to understand and get along with the mysterious aliens who revived them.",Extinct,2017
25,09,"The Event is an emotional, high-octane conspiracy thriller that follows Sean Walker, an everyman who investigates the mysterious disappearance of his would-be fiancée Leila, and unwittingly begins to expose the biggest cover-up in U.S. history.",The Event,2010
26,06,"We love to play games with our children. But what happens when someone else starts to play with them too? Someone we don't know. Can't see. Can't hear. In The Whispers, someone or something -- is manipulating the ones we love most to accomplish the unthinkable. An unseen alien force has figured this human weakness out. They have invaded earth and are using our most unlikely resource to achieve world domination – our children.",The Whispers,2015
27,09,"The Sarah Jane Adventures is a British science fiction television series, produced by BBC Cymru Wales for CBBC, created by Russell T Davies and starring Elisabeth Sladen. The programme is a spin-off of the long-running BBC science fiction programme Doctor Who and focuses on the adventures of Sarah Jane Smith, a middle-aged investigative journalist who, in her youth, had numerous adventures across time and space. The series debuted on BBC One with a 60-minute special, entitled ""Invasion of the Bane"", on 1 January 2007. A full series of ten 25-minute episodes followed, beginning on 24 September 2007. The first series consisted of five two-part stories, and a second series, comprising six two-part stories, began airing on 29 September 2008. A third series, once again comprising six two-part stories to make a total of twelve episodes, with Russell T Davies serving as executive producer, aired from 15 October 2009 to 20 November 2009.

The fourth series aired from 11 October 2010. An episode of another spin-off series, Sarah Jane's Alien Files, was shown immediately after each of the first episodes of the stories. Filming for three of six two-part serials planned for the fifth series was completed prior to Elisabeth Sladen's death on 19 April 2011. Although some UK media, including the Sun, reported in early May 2011 that production of the series was to continue, the BBC has stated explicitly that no further episodes will be filmed. The fifth series was broadcast starting 3 October 2011 on Mondays and Tuesdays. It finished just two weeks later on 18 October 2011.",The Sarah Jane Adventures,2007
28,05,A buried UFO slowly turns local inhabitants into gizmo-building alien mutants.,The Tommyknockers,1993
29,12,"Taken, also known as Steven Spielberg Presents Taken, is a science fiction miniseries which first aired on the Sci-Fi Channel in 2002 and won an Emmy Award for Outstanding Miniseries. Filmed in Vancouver, British Columbia, Canada, it was written by Leslie Bohem, and directed by Breck Eisner, Félix Enríquez Alcalá, John Fawcett, Tobe Hooper, Jeremy Paul Kagan, Michael Katleman, Sergio Mimica-Gezzan, Bryan Spicer, Jeff Woolnough and Thomas J. Wright. The executive producers were Leslie Bohem and Steven Spielberg.

The show takes place from 1944 to 2002 and follows the lives of three families: the Crawfords, who seek to cover up the Roswell crash and the existence of aliens; the Keys, who are subject to frequent experimentation by the aliens; and the Clarkes, who sheltered one of the surviving aliens from the crash. As a result of the decades-long storyline, not a single actor or character appears in every episode of the series. Reception was positive, and the series won an Emmy Award.

When the show was launched, the Sci-Fi Channel used the simultaneous establishment of the organization Coalition for Freedom of Information in its promotion campaign. Both the Sci-Fi Channel and the Coalition for Freedom of Information are clients of Washington, D.C. public relations firm PodestaMattoon, and this apparent co-mingling of clients was criticized. The Coalition for Freedom of Information is a group which seeks the release of classified governmental UFO files as well as scientific, congressional, and media credibility for the study of this subject.",Taken,2002
30,11,"The first Cylon war has been raging for 10 years and a young Ensign William Adama joins the fleet. He's disappointed not to be assigned to a fighter but to a freighter. His co-pilot, Lt. Coker Fasjovic, isn't too keen on having a rookie flying his aircraft as he has only a short time before he again becomes a civilian. Their cargo is a civilian scientist, Dr. Becca Kelly, but they no sooner leave than she has new orders for them and a new destination. She is less than forthcoming about just what her secret mission is but Adama is keen, particularly as it involves going into Cylon controlled space. Nothing is as it seems however. --- Battlestar Galactica: Blood & Chrome is a prequel to the reimagined Battlestar Galactica series. Distribution began as a pilot of a possible new series in 10 online webisodes and later on as a TV movie.",Battlestar Galactica: Blood & Chrome,2012
31,09,"First Wave is a Canadian/American science fiction television series, filmed in Vancouver, British Columbia, Canada, that aired from 1998 to 2001 on the Sci-Fi Channel. The show was created by Chris Brancato, who co-wrote an early version of the script for the seminal X-Files episode ""Eve"". Francis Ford Coppola was executive producer on the show. In an unusual move, the Sci-Fi Channel picked up the series on a 66-episode contract. The show was subsequently canceled once the contract expired at the end of the third season due to disappointing ratings.",First Wave,1998
32,02,"When Emery was 6 years old, an alien spacecraft crash-landed in her small town. Whether they came in peace or with more sinister intentions didn't matter: a fierce battle erupted as humans fought for control over their new rivals, an alien species called the Atrians. In the midst of the conflict, Roman, a 6-year-old Atrian boy, found his way to a shed behind Emery's house, where she temporarily protected him from harm, bringing him food, comfort - and friendship. Ten years later, the Atrians have been acclimated to life on Earth, but they are interned in a heavily-guarded camp known as the Sector to keep them separate from humans. Now, for the first time, a group of Atrian teens will enroll in a suburban human high school, with the goal of testing the feasibility of human/alien integration. Emery and Roman find each other again in a school and a society that distrusts everything about the Atrians. While the world around them rages with anger and prejudice, their bond becomes increasingly strong and increasingly dangerous.",Star-Crossed,2014
33,10,"Coal Hill School has been a feature of Doctor Who since the first episode, but now we get to see the day-to-day adventures of the students coping with intrusions from space and time.",Class,2016
34,04,The disappearance of a decorated FBI agent's wife leads him to a secret government unit assembled to hunt a group of ruthless terrorists - shadowy figures that may or may not be from this world. ,Hunters,2016
35,09,"UFO is a 1970 British television science fiction series about an alien invasion of Earth, created by Gerry Anderson and Sylvia Anderson with Reg Hill, and produced by the Andersons and Lew Grade's Century 21 Productions for Grade's ITC Entertainment company.

UFO first aired in the UK and Canada in 1970 and in US syndication over the next two years. In all, 26 episodes, including the pilot, were filmed over the course of more than a year, with a five-month production break caused by the closure of the MGM-British Studios in Borehamwood, where the show was initially made.

The Andersons had previously made a number of very successful children's science fiction series using marionettes, including Supercar, Fireball XL5, Stingray, Thunderbirds, and Captain Scarlet and the Mysterons. They had also made one live-action science fiction movie, Doppelgänger, also known as Journey to the Far Side of the Sun, and now felt ready to move into live-action television and aim at a more adult market.

UFO was the Andersons' first totally live-action TV series. Despite the assumption of many TV station executives, the series was not aimed at children but was intended for an older audience; many episodes featured adult themes such as adultery, divorce, and drug use. Most of the cast were newcomers to Century 21 although star Ed Bishop had previously worked with the Andersons as a voice actor on Captain Scarlet and The Mysterons.",UFO,1970
36,01,"The Invaders, alien beings from a dying planet. Their destination: the Earth. Their purpose: to make it their world. David Vincent has seen them, for him it began one lost night on a lonely country road, looking for a shortcut that he never found. It began with a closed deserted diner, and a man too long without sleep to continue his journey. It began with the landing of a craft from another galaxy. Now, David Vincent knows that the Invaders are here, that they have taken human form. Somehow he must convince a disbelieving world that the nightmare has already begun.",The Invaders,1967
37,09,"Dark Skies is an American UFO conspiracy theory-based sci-fi television series that aired from the 1996 to 1997 season for 18 episodes, plus a two-hour pilot episode. The success of The X-Files on Fox proved there was an audience for science fiction shows, resulting in NBC commissioning this proposed competitor following a pitch from producers Bryce Zabel and Brent Friedman. The series debuted September 21, 1996 on NBC, and was later rerun by the Sci-Fi Channel. Its tagline was ""History as we know it is a lie.""",Dark Skies,1996
38,09,"The Powers of Matthew Star is an American sci-fi television series that aired from September 17, 1982 through April 8, 1983, on NBC. It starred Peter Barton as the title character, alien prince Matthew ‘E’Hawke’ Star of the planet Quadris. Also starring were Amy Steel as Pam Elliot, Matthew’s girlfriend at Crestridge High, and Louis Gossett, Jr. as Matthew’s guardian Walt ‘D’hai’ Shepherd.

In 2002, The Powers of Matthew Star was ranked #22 on the list of TV Guide's ""50 Worst TV Shows of All Time"".",The Powers of Matthew Star,1982
39,02,"Project U.F.O. is a NBC television series which lasted two seasons, from 1978 to 1979. Based loosely on the real-life Project Blue Book, the show was created by Dragnet veteran Jack Webb, who pored through Air Force files looking for episode ideas. This was the final show produced by Webb's Mark VII Limited, but in the case of this show it was produced in association with Worldvision Enterprises; this was the only Mark VII production not produced with the two other studios closely associated with Mark VII -- Warner Bros. or MCA TV / Universal Television.",Project U.F.O.,1978
40,05,"Code Name: Eternity is a Canadian science fiction series that ran for 26 episodes starting in 1999. It was later shown on the Sci Fi Channel in the United States.

The plot involves an alien scientist who comes to Earth and assumes human form in order to perfect technology which will radically change Earth's environment to be suitable for habitation by his own species. Another of the aliens, having discovered the true nature of Banning's plans, abandons him and joins up with a human scientist in an attempt to prevent the destruction of Earth and humanity.

The series was filmed in Toronto, Ontario, Canada. It was cancelled after a single season and ended on a cliffhanger.

Echo Bridge Home Entertainment announced Code Name: Eternity: The Complete series on DVD.",Code Name: Eternity,2000
41,10,A short-lived weekly series based on the miniseries of the same name.,Something Is Out There,1988
42,05,"When psychiatrist Dr. Neil Chase encounters two women suffering from the same symptoms with similar nightmarish stories, rational explanations just don't seem to fit.",Intruders,1992
43,,"Read All About It! was a Canadian educational television series that was produced from 1979 to 1983 by TVOntario that aired during the early to mid-1980s; It also aired in repeats in the 1990s. It starred David Craig Collard as Chris, Lydia Zajc as Lynne, Stacey Arnold as Samantha, and Sean Hewitt as Duneedon, ruler of the galaxy Trialviron. In the second season Michael Dwyer joined the cast as Alex. The main goal of the show was to educate viewers in reading, writing and history. Each episode ran for approximately 15 minutes. Eric Robertson composed the music for the show.",Read All About It!,
44,10,"On a holiday to Mt Tarawera, teenager Jenny finds an odd shard of metal. In this third episode of the kids sci-fi series she meets its owner: 'Drom' — a survivor of an alien mission to deactivate a planet-annihilating space gun (aka Tarawera itself). They find themselves under siege from a Predator-like 'Guardian' of the gun. If Drom and Jenny and local kids Tessa and Lloyd can't defeat the mechanoid, catastrophe is imminent! The South Pacific Pictures series found international sales and cult repute.",The Boy from Andromeda,1991
45,07,"Masked scientific government agent is pitted against a rogue army, led by a mystery man known only as ""The Ruler"",  which is attempting to conquer the solar system by first decimating earth's climate through various futuristic devices which Cody must meet with earth's own futuristic technology. 

[Intended to be a limited-run television series, Commando Cody: Sky Marshal Of The Universe was first released theatrically in 1953 as a twelve-chapter movie serial; it was not shown on television until 1955.

The Commando Cody character was first introduced in Republic's earlier movie serial Radar Men from the Moon; however, ""Sky Marshal"" is actually a prequel, with the first chapter dealing with Cody's origins and the acquisiton of his staff as seen in ""Radar Men"".]",Commando Cody: Sky Marshal of the Universe,1955
46,10,"Once again, Earth is the battleground. But now the aliens whose human guise hides their true reptilian natures are wiser. They believe the secret to their survival on Earth lies in the DNA of the newly born half-human, half-spaceling Starchild. But that's something the world's Resistance Fighters cannot allow.",V,1984
47,01,"Investigates the mysteries behind declassified top secret government files with stunning details about the world's most credible UFO sightings and alien encounters. The series pieces together the data on these incidents, and tries to answer the question: what really happened?",UFOs Declassified,2015
48,04,"Les Visiteurs is about the disappearance of a team of six extraterrestrials coming to study Earth. The Empire of the Four Planets dispatch two police detectives to find them. They slip into two human bodies just as they are about to die, those of a Frenchman Jean-Louis and a German woman Renate, and resuscitate them so as to pursue their mission.",The Visitors,1980
49,10,"Mercy Point is an American science fiction series that ran from the fall of 1998 to the midsummer of 1999 on UPN. The series, set in the mid-23rd century, took place on a deep-space medical space station that catered to the medical needs of both humans and aliens, and served as a crossroads for both human and alien civilizations, as well as between the military and civilian agencies of human culture. While short-running, the series benefited from complex characters and intriguing hints at the greater universe outside of the hospital's hull. It was created by Trey Callaway, David Simkins, and Milo Frank and executive produced by Trey Callaway, Michael Katleman, Lee David Zlotoff, Peter Guber, Scott Sanders, and Joe Voci.",Mercy Point,1998
50,03,"Hard Time on Planet Earth is an American science fiction series that aired on CBS as a midseason replacement in 1989. Airing for 13 episodes, the series starred Martin Kove and was created by Jim and John Thomas. Scheduled opposite NBC's Unsolved Mysteries and ABC's Growing Pains on Wednesdays, Hard Time on Planet Earth ranked 65th out of 81 programs upon its premiere. Ratings for the series never improved and the series was canceled by CBS in May 1989. The last episode aired on June 21, 1989.",Hard Time on Planet Earth,1989
51,06,"A team of trained investigators sets out to uncover the truth about UFOs. But they're not just looking for more stories on extraterrestrial activity—they want answers. Risking it all, this team of scientists and UFO researchers investigate and dissect some of the most mysterious sightings on the planet to unearth stunning new evidence. The data they collect on these adventures paints an entirely new picture of what we know about these strange lights in the sky.",Chasing UFOs,2012
52,10,A science fiction blockbuster in which special agents struggle with a weird species that has taken over Korea.,Clocking Out,2016
53,09,"Benji, Zax & the Alien Prince is a live-action Hanna-Barbera and Mulberry Square children's science fiction television series created by Joe Camp, the creator of the Benji film franchise. The series aired Saturday mornings on CBS in 1983 with repeats airing in the United States and internationally for a number of years through the 1980s.

The series was taped in various parts of the Dallas–Fort Worth Metroplex, with interiors taped at the Las Colinas studios in Irving, Texas. The entire series was released to DVD by GoodTimes Home Video as four separate releases of 3 or 4 episodes each and a single release with all 13 episodes.","Benji, Zax & the Alien Prince",1983
54,01,A science based talk show,Misteri,1994
55,05,Is there life out there? Finally we know. Beause they are there. Alien spacecraft with humanlike passengers have come to Earth. They say they come in peace for food and water. The water they find in our reservoirs. The food they find walking about everywhere on two legs.,V: The Final Battle,1984
56,,"Them is a television drama about a sleeper cell of aliens living within the city of Los Angeles. It is produced by CBS Paramount television, and was ordered to pilot for the 2006 to 2007 season for the Fox network. The series was not picked up but the pilot aired in 2007. It is based on Michael Avon Oeming and Daniel Berman's graphic novel SIX.",Them,
57,01,,Les portes du futur,1991
58,07,"In the future, Earth's entire population is being wiped out by an unstoppable virus. Mankind's only hope for survival is to launch a spaceship stocked with clones in cryogenic freeze, which will return to a devastated planet and re-populate it. Prior to its arrival, however, its crew of 6 is awoken to face a threat to the ship. They must come to terms with the workings of the ship, the dangers faced by their ship, the realization that they are clones, and their ultimate destiny: to save their race.",Mission Genesis,1997
59,12,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Avatar,2009
60,06,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",Transformers: Age of Extinction,2014
61,04,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",E.T. the Extra-Terrestrial,1982
62,06,"Young teenager, Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.",Transformers,2007
63,05,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",Men in Black 3,2012
64,07,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",Men in Black,1997
65,05,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",Star Trek Into Darkness,2013
66,07,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",Men in Black II,2002
67,08,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,Signs,2002
68,05,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",Prometheus,2012
69,06,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Independence Day: Resurgence,2016
70,03,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",Monsters vs Aliens,2009
71,05,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",Edge of Tomorrow,2014
72,03,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",Home,2015
73,11,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",Chicken Little,2005
74,11,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",Close Encounters of the Third Kind,1977
75,03,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",John Carter,2012
76,05,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",The Fifth Element,1997
77,06,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",Super 8,2011
78,06,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",A.I. Artificial Intelligence,2001
